Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,88.7485034,91.5025017,88.39999999999999,91.35800255,89.6413689,170149200
2016-08-08,91.39199745,92.5990017,91.0860034,91.953,90.7139533,124505800
2016-08-15,91.91899915,93.69550255,91.8680017,92.95600085,91.7034383,132371400
2016-08-22,92.53100085,92.922,90.36349829999999,90.8990017,89.6741568,123605500
2016-08-29,90.62700255,91.8,89.675,91.57050255,90.3366111,133000600
2016-09-05,91.7150017,92.4460017,87.66049745,87.66049745,86.47928985,168803700
2016-09-12,87.2525017,98.71049745,87.15049915,97.6819983,96.36575375,388228200
2016-09-19,97.9115017,98.753,94.81750255,95.80349915,94.5125659,201095700
2016-09-26,94.89399915,97.44399915,94.81750255,96.09250255,94.79767799999999,156384000
2016-10-03,95.80349915,97.37599829999999,95.43799915,96.9509983,95.6446044,126029400
2016-10-10,97.76699745,100.8865017,97.51200084999999,99.98549745,98.638216,208708400
2016-10-17,99.73050169999999,100.47849914999999,96.73000255,99.1099983,97.77450635,115531500
2016-10-24,99.5349983,100.60600085,96.31349829999999,96.66200085,95.35950505,210225600
2016-10-31,96.6025017,97.09550254999999,91.89350085,92.5139966,91.26739425,156346500
2016-11-07,93.5680017,94.96200085,89.95550169999999,92.16550000000001,91.39040795,207019500
2016-11-14,91.55349915,93.95900085,88.46800169999999,93.55099829999999,92.7642587,198341400
2016-11-21,93.60200255,95.5569983,93.5085017,95.02150085,94.22239459999999,94132400
2016-11-28,94.7155,95.59950085,92.5224983,93.4150017,92.62940365,155500000
2016-12-05,93.5,97.49499745,92.0125,96.85749745,96.04295095,151989600
2016-12-12,96.29650085,99.22050254999999,95.6164983,98.57450084999999,97.745512,195015600
2016-12-19,98.43000255,99.875,98.2514966,99.04199745,98.2090782,113254700
2016-12-26,99.04199745,100.31699745,98.1155,98.44699999999999,97.61908724999999,84828600
2017-01-02,98.43000255,100.4360034,97.54600169999999,100.2235034,99.38064935,103845500
2017-01-09,100.25749744999999,101.9405,100.24900170000001,101.18400085,100.33306669999999,138810700
2017-01-16,100.5889966,102.425,100.48700085,102.0,101.14220465,116348000
2017-01-23,102.0,104.0740017,101.575,103.65749745,102.78575955,124539300
2017-01-30,102.79050000000001,110.91650424999999,102.52700254999999,109.7180017,108.79529864999999,249781200
2017-02-06,109.76050425000001,112.9990017,109.56499489999999,112.30199574999999,111.3575616,136449200
2017-02-13,113.11800170000001,115.8295034,112.83749999999999,115.36200084999999,114.88779264999998,136667500
2017-02-20,115.79549659999999,116.85799659999999,114.98799915,116.16100339999998,115.68351335,87908900
2017-02-27,116.56899914999998,119.23799915,115.83799915,118.81299915,118.32460189999999,127474000
2017-03-06,118.46449574999998,118.98299659999999,116.49250255,118.26899914999998,117.78283315,99672200
2017-03-13,118.0225051,119.8670034,117.99700595,118.99150424999999,118.50236834999998,121539600
2017-03-20,119.3399949,121.38000255,118.7704966,119.54399914999999,119.0525929,129674000
2017-03-27,118.48149914999999,122.825,117.82699574999998,122.11100339999999,121.60905204999999,127008900
2017-04-03,122.15350594999998,123.64100595,121.59250255,121.8389966,121.3381613,105416200
2017-04-10,122.0600051,122.29800425,119.0509983,119.89250255,119.39967,87485700
2017-04-17,120.2579966,121.48199829999999,119.38249744999999,120.9295034,120.43240385,89248500
2017-04-24,121.975,123.1649949,121.70299404999999,122.1024949,121.6005699,91153700
2017-05-01,123.3350051,126.6329966,122.62950339999999,126.61600594999999,126.09553395,175351700
2017-05-08,126.67549915,132.95699829999998,126.67549915,132.6850051,132.1395924,173470600
2017-05-15,132.60849575,133.1524949,127.25350594999999,130.10099830000001,130.10099830000001,157354900
2017-05-22,130.9,131.66499489999998,129.76949829999998,130.56850085,130.56850085,103000000
2017-05-29,130.4069983,132.13249745,129.38700085,132.13249745,132.13249745,88752900
2017-06-05,131.1889966,132.5829966,124.1170034,126.6329966,126.6329966,159159700
2017-06-12,123.87900425,125.375,120.86999745,120.9295034,120.9295034,220530400
2017-06-19,122.11100339999999,125.08600339999998,122.11100339999999,124.33799915,124.33799915,133253000
2017-06-26,125.09449829999998,126.03799915,120.93799915,122.4170034,122.4170034,127060200
2017-07-03,123.14800425,123.50500255,121.04850339999999,122.55299405,122.55299405,79158400
2017-07-10,122.49350085,126.93050170000001,121.86449574999999,126.68399405000001,126.68399405000001,111088400
2017-07-17,126.49700595,128.97900425,126.28450595,127.7295034,127.7295034,106081600
2017-07-24,127.99300170000001,130.7639966,127.4149949,129.82900425,129.82900425,40207600
2017-07-26,130.3475051,130.84049405,130.10099830000001,130.44100594999998,130.44100594999998,15778261
