Date,Open,High,Low,Close,Adj Close,Volume
8/1/2016,104.410004,107.650002,104,107.480003,105.460434,170149200
8/8/2016,107.519997,108.940002,107.160004,108.18,106.722298,124505800
8/15/2016,108.139999,110.230003,108.080002,109.360001,107.886398,132371400
8/22/2016,108.860001,109.32,106.309998,106.940002,105.499008,123605500
8/29/2016,106.620003,108,105.5,107.730003,106.278366,133000600
9/5/2016,107.900002,108.760002,103.129997,103.129997,101.740341,168803700
9/12/2016,102.650002,116.129997,102.529999,114.919998,113.371475,388228200
9/19/2016,115.190002,116.18,111.550003,112.709999,111.191254,201095700
9/26/2016,111.639999,114.639999,111.550003,113.050003,111.52668,156384000
10/3/2016,112.709999,114.559998,112.279999,114.059998,112.523064,126029400
10/10/2016,115.019997,118.690002,114.720001,117.629997,116.04496,208708400
10/17/2016,117.330002,118.209999,113.800003,116.599998,115.028831,115531500
10/24/2016,117.099998,118.360001,113.309998,113.720001,112.187653,210225600
10/31/2016,113.650002,114.230003,108.110001,108.839996,107.373405,156346500
11/7/2016,110.080002,111.720001,105.830002,108.43,107.518127,207019500
11/14/2016,107.709999,110.540001,104.080002,110.059998,109.134422,198341400
11/21/2016,110.120003,112.419998,110.010002,111.790001,110.849876,94132400
11/28/2016,111.43,112.470001,108.849998,109.900002,108.975769,155500000
12/5/2016,110,114.699997,108.25,113.949997,112.991707,151989600
12/12/2016,113.290001,116.730003,112.489998,115.970001,114.99472,195015600
12/19/2016,115.800003,117.5,115.589996,116.519997,115.540092,113254700
12/26/2016,116.519997,118.019997,115.43,115.82,114.845985,84828600
1/2/2017,115.800003,118.160004,114.760002,117.910004,116.918411,103845500
1/9/2017,117.949997,119.93,117.940002,119.040001,118.038902,138810700
1/16/2017,118.339996,120.5,118.220001,120,118.990829,116348000
1/23/2017,120,122.440002,119.5,121.949997,120.924423,124539300
1/30/2017,120.93,130.490005,120.620003,129.080002,127.994469,249781200
2/6/2017,129.130005,132.940002,128.899994,132.119995,131.008896,136449200
2/13/2017,133.080002,136.270004,132.75,135.720001,135.162109,136667500
2/20/2017,136.229996,137.479996,135.279999,136.660004,136.098251,87908900
2/27/2017,137.139999,140.279999,136.279999,139.779999,139.205414,127474000
3/6/2017,139.369995,139.979996,137.050003,139.139999,138.568039,99672200
3/13/2017,138.850006,141.020004,138.820007,139.990005,139.414551,121539600
3/20/2017,140.399994,142.800003,139.729996,140.639999,140.061874,129674000
3/27/2017,139.389999,144.5,138.619995,143.660004,143.069473,127008900
4/3/2017,143.710007,145.460007,143.050003,143.339996,142.750778,105416200
4/10/2017,143.600006,143.880005,140.059998,141.050003,140.4702,87485700
4/17/2017,141.479996,142.919998,140.449997,142.270004,141.685181,89248500
4/24/2017,143.5,144.899994,143.179993,143.649994,143.059494,91153700
5/1/2017,145.100006,148.979996,144.270004,148.960007,148.347687,175351700
5/8/2017,149.029999,156.419998,149.029999,156.100006,155.458344,173470600
5/15/2017,156.009995,156.649994,149.710007,153.059998,153.059998,157354900
5/22/2017,154,154.899994,152.669998,153.610001,153.610001,103000000
5/29/2017,153.419998,155.449997,152.220001,155.449997,155.449997,88752900
6/5/2017,154.339996,155.979996,146.020004,148.979996,148.979996,159159700
6/12/2017,145.740005,147.5,142.199997,142.270004,142.270004,220530400
6/19/2017,143.660004,147.160004,143.660004,146.279999,146.279999,133253000
6/26/2017,147.169998,148.279999,142.279999,144.020004,144.020004,127060200
7/3/2017,144.880005,145.300003,142.410004,144.179993,144.179993,79158400
7/10/2017,144.110001,149.330002,143.369995,149.039993,149.039993,111088400
7/17/2017,148.820007,151.740005,148.570007,150.270004,150.270004,106081600
7/24/2017,150.580002,153.839996,149.899994,152.740005,152.740005,40207600
7/26/2017,153.350006,153.929993,153.059998,153.460007,153.460007,15778261
7/27/2017,0,0,0,0,0,0
